756954722251022V95KJ8PT59809230828W	9049E30K7ZZ2019-05-31619168006M	3291892019-05-312017-06-190
907896208309024N35SV8DL37445824214Y	1261F16C2ZZ2018-01-20755736460P	3761222018-01-202017-06-017
945356211463854Z43PT6HE25033781419W	9226M20E4ZZ2017-09-22998254491K	3596122017-09-222019-10-270
185614143015605L44LT7SF21960453517T	5180C62B0ZZ2020-01-07967857239I	3196652020-01-072019-01-078
930737651229467U65HU9ST06501889547M	0164O03R1ZZ2019-06-20578286459L	3157622019-06-202019-01-076
438105363545213H69MD5KX51127209686F	3608Z83Y1ZZ2017-03-17627981611U	3792442017-03-172018-12-297
442719951901721I49RG3CA24598755761X	0068I00H0ZZ2018-06-02262865886D	3326242018-06-022018-10-264
307388817644065I15MY8IM83899283290D	2660I42W2ZZ2016-09-02716477316W	3683982016-09-022018-08-035
050539404436958D09HI0GD46944349692X	9557T23M8ZZ2017-08-17525555583P	3325382017-08-172017-12-100
770856603772486N83AE9XL23238645466I	2086J18J0ZZ2017-09-25548737969C	3500612017-09-252018-03-177
361189966974894I44CI5ZD85696965325J	7385J98J7ZZ2016-01-17977825656P	3408742016-01-172018-05-273
081192092011891P46QG7YE81615913583Z	4582R81J6ZZ2019-08-29267303346R	3409622019-08-292019-01-179
626100302374801K16PS9XR32820337362Q	6826J11E4ZZ2016-07-04987505027X	3865842016-07-042019-06-247
054165356589511Q66GN7LJ20385400989L	8444B89D8ZZ2019-11-14935516157S	3140502019-11-142018-06-222
528458740085072D51CZ2DK06285982499S	5785L26C9ZZ2017-05-29530191208X	3439782017-05-292018-07-155
108680544188951O54AD7KN34074754525J	2926Y59N2ZZ2019-09-20983061841B	3430132019-09-202019-06-152
056407960595253W11HR0GF76566780486D	3395Z35J7ZZ2018-10-11129665148O	3515552018-10-112018-02-228
124102887090876Q89CI8LK59320235674Z	8104A21G1ZZ2016-04-04326850370U	3540212016-04-042019-06-085
587119333369451N63BQ6XL05392803693D	7989I11I8ZZ2017-01-12318240897B	3596862017-01-122017-04-037
398880799971934Z45UW0LC79802738974V	9683T38F2ZZ2020-01-07619565015J	3242132020-01-072018-03-314
640339910786580A16RU9WX83466784255H	6701F24D1ZZ2018-04-02674670544J	3508752018-04-022018-09-265
443597717762726Q22WQ9RJ92384392284S	9027W28N9ZZ2017-10-26736900166R	3745372017-10-262017-12-284
239713541867894L71SN0LM29098103719T	2023O97S3ZZ2018-10-12436431760J	3573082018-10-122019-01-135
285728722713027H91AU4HV72356319139W	2530E70U0ZZ2016-02-12514472794F	3868252016-02-122017-03-157
105067570554161C27DJ4FV87609745169F	9401J41K4ZZ2016-04-05774402977Q	3637252016-04-052018-10-292
578508155180675Q56GN5RU00519566100I	4390Q45V3ZZ2016-03-05684594897G	3634192016-03-052017-02-014
907501462475513Q16VD7YC38215186348S	4792G72P5ZZ2016-12-25458352686R	3232982016-12-252019-01-239
540082608475009W74RN2FA00720384492Q	1428S87Q3ZZ2016-05-24529115718P	3180062016-05-242017-01-201
274828976577962Q19YB9LR81254183214F	0796Z71Q3ZZ2019-04-01481132387F	3348152019-04-012017-09-074
548276078385418I88VA5UT68054120336N	2904N31R6ZZ2016-06-13696689137V	3635432016-06-132019-01-060
449816531643020X71SU4DC83696919253C	1022A59K4ZZ2018-07-22373212277A	3963492018-07-222017-11-146
894908959579570Y88BJ0GV13826935931N	5602E95T1ZZ2018-01-04239641011K	3836502018-01-042017-09-040
299738330762962E84OY4IC92936208187E	7717F04T1ZZ2018-06-29724821809C	3532922018-06-292018-10-111
846716869140341N08EF3JD75908801766G	4406M88Y5ZZ2017-08-10019612350Z	3714672017-08-102017-06-177
408877538919776R16HU3RB55468244376K	6938B83I6ZZ2016-11-17561103629L	3447972016-11-172017-12-191
771446579555502J04VO6MS47452355332D	0574U05R0ZZ2018-05-19740938397C	3303342018-05-192018-04-066
695283644439652B93WH8HA22601945640I	2798J60R5ZZ2018-01-18539719556U	3527412018-01-182017-11-306
236690157904486O05EF9HF63860068214U	8239R00D0ZZ2018-05-11583429775H	3205392018-05-112017-06-251
933135776049778Y48IY1UE07959020500L	2540E69Y3ZZ2017-03-02899193483A	3678762017-03-022018-05-102
306645947272594J77DU4JD29062183290U	3652N56V5ZZ2016-10-30869750862O	3432232016-10-302018-04-169
536510353798819X38MQ7SN59086657196M	4129I78A3ZZ2019-02-17551178129T	3572982019-02-172018-01-233
989669090045972N35HO4UW29195322928V	0318D95X6ZZ2018-07-12635213887O	3257472018-07-122019-08-075
591042591615386K71GD4PQ96539015463G	3387P73V2ZZ2017-10-03031112429Q	3504022017-10-032018-06-167
256868444474962Y69FO2CF16815954929M	4461H76V9ZZ2017-05-15984972950J	3152322017-05-152018-01-124
375540692130158N60CF8GO75533307799H	7133C61G0ZZ2016-07-24490737278V	3164522016-07-242019-05-192
423670537881227S69PB6KT67646752587P	3687X67G8ZZ2017-12-08169480988R	3344692017-12-082018-05-283
395446395625230K25SH5SN29181213469T	4076F69J7ZZ2019-02-15152268559Q	3955832019-02-152018-11-091
762396946937740C66SO0GQ50400135957W	5000Z19V3ZZ2016-08-25179542498N	3866032016-08-252017-06-298
160097170362637X60IX3YZ92191352574I	1674J39P4ZZ2017-10-20602346453Z	3922262017-10-202018-05-100
286779774008707A87GJ8NI78549132800H	5525Q55T8ZZ2019-12-14095352588T	3234202019-12-142019-07-291
536458201726242T32YK7JM04184186123W	2874Y21M4ZZ2019-12-04646642104H	3424822019-12-042019-01-152
262230696787374R48VK3ZV01459828377P	3279K35S9ZZ2018-06-07224713591Q	3171942018-06-072018-09-276
658598540798225Z87XZ8KC59209353669W	0596J95R9ZZ2020-01-07406711509K	3368672020-01-072019-12-190
315787462681151G54UX2SP90870256606F	2471N73P2ZZ2017-03-28595434923X	3124802017-03-282017-08-259
598491295485863D83ZE5NY58731601522U	8258V34C9ZZ2019-03-13308598732W	3494512019-03-132019-12-147
506370603575204H54PS3PU05787349214B	1819B97I0ZZ2018-06-11538317466J	3839542018-06-112019-04-301
828532758531749D81OE5XF90777058309W	9156L14M2ZZ2016-03-11736671808W	3480852016-03-112017-12-250
628016538920733P14FZ9FP75025624016E	2514X09P6ZZ2019-07-25385916915Z	3981682019-07-252017-11-126
665859892356197B66DY7AI50194211929G	4037E88H7ZZ2018-02-27527687100D	3967012018-02-272018-10-124
996833721890080U16NZ5TR73493615200R	2410G83J1ZZ2019-05-31270913144G	3411992019-05-312018-07-316
708897794512797G86JE0VT65295414747K	5938G60C8ZZ2018-03-15838801983Z	3609222018-03-152017-11-230
011914180008598H19JM4WB67812072395Z	7874O70P9ZZ2019-07-01934224646G	3967732019-07-012018-10-031
955020262387374C01FH0JB51306245363I	7245G87C0ZZ2016-01-24327674768A	3736952016-01-242018-10-041
627795860107144G98PY0WO00928380000K	1922P99W8ZZ2018-01-26657629723E	3945872018-01-262017-01-203
877625967646797Y17KX4FB16433183900V	0353P38O6ZZ2019-08-26538864397X	3168252019-08-262019-12-276
276971402117639P34CJ6US05239631314C	5298L03T5ZZ2016-09-12281335002B	3896522016-09-122019-09-226
439494778320511X15NK6DC40973800918F	0782I72U5ZZ2018-05-17048341590W	3439982018-05-172018-10-101
918746938739713K24PB8VE17311915176E	4286R96N0ZZ2017-11-30649859660E	3563342017-11-302017-01-144
110811117992694M40KX0NU38793359964Y	6800X20K7ZZ2018-04-04225307988F	3899912018-04-042018-10-126
365064759072127Y14XK6UM75617230580S	2611V01R8ZZ2019-04-05679751338C	3326692019-04-052018-08-302
396747150466998M56MR8JE73171953803I	2831P02U0ZZ2018-06-14335223488P	3958452018-06-142018-03-204
870396997760448J72WU5AG31017128682M	6811O17V6ZZ2017-02-14695238616A	3365962017-02-142018-12-262
684724938774840U67JQ4EC55843860896G	9720G86J6ZZ2018-11-17264865165X	3977812018-11-172017-12-121
908233246120356O78OB7HG47863852302L	5733A68R0ZZ2019-06-29460010701Q	3609852019-06-292017-10-142
023084023438337O58PQ5LI47809718315P	6873D05R9ZZ2017-02-08844945750W	3444722017-02-082019-08-129
401223054007976L73PI8XB97040381677I	2303Q95F1ZZ2019-02-14223440524A	3562042019-02-142017-08-120
055305176312442R16BN3HW37243582421R	8985P36P1ZZ2017-01-12597439225R	3793352017-01-122019-02-146
032651215454008J92KG2QG43261358748O	8991D13E2ZZ2019-06-24339809043T	3413332019-06-242017-10-263
866842342304781G29UM1HY78316102574X	9240K82Y4ZZ2016-07-22568112851D	3379082016-07-222019-10-287
519803441759383R12PF7JU41017278750D	4441G08C5ZZ2018-01-30055710087G	3940182018-01-302017-05-090
559293074153118R55GX1EI98645458767Q	4272U72Z0ZZ2016-12-14894079545X	3207902016-12-142017-03-052
159924641606454N22OT7JI72610108887C	6735Y10F3ZZ2017-09-26159047040Z	3415672017-09-262018-03-031
966425899503634B58FW5BS27178830588Q	0794L96F1ZZ2016-12-28523677807R	3930092016-12-282018-08-064
749863379865242W17CV0UO72672054390S	2282I65V1ZZ2016-11-30087300393I	3626972016-11-302018-10-302
082420348056412B79OU0EM21256073864K	5042D11W3ZZ2017-06-27117972248I	3931482017-06-272017-07-179
843539959853411U81FS6GK40962707616F	4306L88B3ZZ2016-02-20575787917E	3821422016-02-202017-01-300
327605217465597K93YE1HR66557784340U	4061Z22J2ZZ2017-11-17266358223C	3552852017-11-172018-07-131
149924260245176N37ON1RO93504568700N	3775R99H0ZZ2016-07-18358920274V	3955472016-07-182017-10-197
898595715983165G43WU0FH72623849807O	9351C22H2ZZ2016-07-15499475270H	3928682016-07-152019-09-164
525063252667610B21MK9FR28054066157C	2789E94A2ZZ2018-10-03101282282Y	3695752018-10-032019-05-270
809278628674069O28UC0HO74360150660H	4994O58Y7ZZ2016-11-19116490711E	3165462016-11-192019-09-178
731103656879622E76AD4NW67691505961T	3133Y54R9ZZ2016-01-22665403535Z	3894212016-01-222019-02-189
783372010983507S71JA0KC72498800789Y	4287X24I2ZZ2018-05-24098970597L	3271012018-05-242018-05-281
391823999071256C93QG8ZH51752201185D	1474N81X0ZZ2017-08-22160792060G	3310872017-08-222017-05-045
527617513632340Q31DG4TW48527812012M	4346L88V4ZZ2017-01-31981996923I	3472842017-01-312017-08-128
915709116739960G58HA5BP80654009059Z	6277T92G1ZZ2017-07-31290041105M	3927762017-07-312018-09-107
336332251770832S46EP5NG81968443934D	9079R18J8ZZ2018-09-23122753270A	3508862018-09-232018-05-255
561163897154846Z55DN9MH74879784086Y	1038K46T6ZZ2019-09-19284364749P	3675302019-09-192018-11-188
801980977534765C36OS6FQ13734693173V	9303M94G1ZZ2016-03-28036185486G	3444292016-03-282020-01-093
020008028181772C07BT8TU28091316003X	9559F90I6ZZ2018-10-02034082631Y	3561222018-10-022019-08-198
363050109273010D68DL3SX40080937384C	4027V11A1ZZ2016-04-23665408536R	3567342016-04-232019-03-187
858055718688191H64UL1HQ08577085780F	3464M38K1ZZ2016-06-07018568247U	3237252016-06-072018-04-166
892909180509853X10OM2TW67994245777N	0517K43T3ZZ2018-10-13266044556D	3415442018-10-132018-05-146
684323464884954A07EW7VX03452399603Y	8925R08C0ZZ2019-07-16772837536W	3731662019-07-162017-02-204
465080777508256O09VP9KH11628347294U	3861B66R4ZZ2016-03-08124914721M	3517182016-03-082017-07-203
860936159115210O48CV8LD90552763314Z	7429M70B6ZZ2016-11-25354170154R	3403922016-11-252017-02-162
163050766935106N88HQ0TJ46893381668Q	6055A42N9ZZ2019-02-09181770793M	3920112019-02-092019-07-298
164136261652862B69RL2XK25951889822D	0874U52X3ZZ2019-09-27900205713E	3412552019-09-272017-09-221
885537945211969G47CY0SQ33013915326K	6441G15B2ZZ2019-11-02976688239L	3119482019-11-022020-01-041
849339858111375I86PT7RQ19873670841Y	9109K33L2ZZ2018-07-29424962047I	3324342018-07-292017-09-204
626021697633046O28WP4XC68188821287Q	4085I99F8ZZ2017-11-13629403996P	3256602017-11-132019-10-216
140675977417448P04NG0AJ45630275824R	6982H13A1ZZ2018-07-24566222573U	3815912018-07-242019-03-170
305378142102520D66SQ7DP85294246681H	5269U26P6ZZ2019-03-26314044783C	3178072019-03-262019-09-284
523667855799655S50AW3SG76064050337Z	0074M37O7ZZ2016-03-29959009521A	3334452016-03-292019-09-184
495242663234610B17TC3GM84319186230X	1638R77P8ZZ2017-12-31683679085W	3700602017-12-312019-02-094
345789224398681D77AD2YB08377278923E	7347J30I8ZZ2019-01-03365256678W	3703702019-01-032018-12-306
986547617270348A81YR9YA92485986322M	7263G37Q1ZZ2018-07-22679891653Y	3981842018-07-222018-11-038
866109481276853J52DY3YC43095817070J	2533L39X5ZZ2019-11-18818312779H	3372262019-11-182018-11-218
895674371717663H46HC9PN27813323819Q	4904B51E0ZZ2019-01-06199082163L	3813952019-01-062018-04-031
128090301052162E39FR8KZ13160268723Q	3423Y30I5ZZ2017-06-20709145961Z	3705302017-06-202017-02-289
089144523625590Z47DX0PX60928112850Y	6860B85L7ZZ2017-10-24831128621C	3702122017-10-242017-09-066
611082250369899G57LQ6BW81434328399W	4976B72U3ZZ2018-01-05260290670F	3363382018-01-052017-10-160
268653771182487X35FL4KV12815595620T	3416N79M1ZZ2019-05-21347808984V	3148332019-05-212019-11-201
299984438887171B93AZ2FS46776792712U	9166G85C5ZZ2016-05-20175879853K	3623612016-05-202018-12-265
696166431309326E87AY3LI63830538877D	7133R32X6ZZ2017-03-31287269825L	3826892017-03-312017-06-036
180054241703323H21CE5NO48749793724C	5458H97M2ZZ2018-10-22916957425S	3655582018-10-222017-10-316
938885116266364Z12LB8CX83539592241C	5356O87H0ZZ2018-06-30024853821U	3439862018-06-302019-01-045
415358446126295Q88BF1MO18314666848A	2947N26Q3ZZ2017-11-07643635561B	3646142017-11-072018-09-290
627902414262722X88GE9VS07241952106W	4856M11M5ZZ2017-07-18132854279G	3714862017-07-182019-10-134
790981178299868V73AI9NY87382202627Q	6789U66L4ZZ2016-05-01896763279P	3938702016-05-012018-09-029
694711136312276K33FA4CT70181468399J	0412A26X4ZZ2016-05-10089572077A	3952222016-05-102019-01-020
106880402181769G26YJ5MV35447719885S	2266O67B7ZZ2018-05-11250549470U	3817132018-05-112018-07-315
602373640598354M36WR9EA51014104864Q	5421P32G9ZZ2018-07-24257843984S	3166682018-07-242018-05-072
573090540365748F89XV5XS84003231414X	2405R24R0ZZ2019-04-10706056757E	3828292019-04-102017-02-016
854552616379663P41YG7SP41576334290B	5184L44N7ZZ2019-06-24380102403A	3742532019-06-242019-05-249
396688188754072Q08YX7NY24845264472L	2547X79Y9ZZ2017-12-30856334995F	3944452017-12-302019-10-063
534598205080591P89XR3FI24307656630U	0500F09L1ZZ2016-05-03425592975R	3664002016-05-032018-12-072
775355594416883N00QS2RI15376123367R	0921P35R0ZZ2016-02-20350571014Q	3445172016-02-202017-07-017
090482703893090R71EV6RC02592615359E	2528T43K5ZZ2016-03-24909412580W	3111772016-03-242018-06-117
720613282386538A80XK2WT93889154266Y	5514H96K6ZZ2016-10-24582562713H	3728482016-10-242018-02-221
288951918228173U97OL8UG56949520998H	5871R09Z3ZZ2019-07-02476037659W	3834432019-07-022019-09-076
824075113398264T50WU9DP43805373025N	9890H81T6ZZ2017-02-11543751071Q	3735042017-02-112017-06-102
031455903599334X33MD9RB12351424647Z	5600H62B9ZZ2019-05-13599130698R	3482282019-05-132019-06-296
807660064735147B17JS3FN04503483772L	0582Q77W6ZZ2017-10-07278897217U	3557332017-10-072019-03-061
625896144042622E39OS2YO29971965169A	5588Z42S9ZZ2017-05-14695526833S	3926432017-05-142019-12-252
935137236747544T06XF0KZ67888312216X	2302E53C9ZZ2018-09-11990950280Y	3226572018-09-112019-03-096
396504032556060G50DV9QT15765774521F	2249W50D3ZZ2018-06-29604581106O	3872262018-06-292019-08-095
539242042125228T35XC1RP31157484285V	4261Z09H2ZZ2017-05-22668372978M	3842332017-05-222018-08-219
756133599400431Z54ZO5CH21928546272A	5898L61K6ZZ2016-11-14743439868A	3487502016-11-142019-05-317
286215980971959J32BS9PX91068705482S	6193X57Q4ZZ2018-09-20405788599J	3187322018-09-202019-07-264
647321083943479H68CT5JV31674616820N	8593U59P4ZZ2018-02-14584040935T	3456352018-02-142018-12-078
379665334690901S41CT5FD03208362668M	7052C06I6ZZ2019-10-15707776229W	3951142019-10-152017-10-280
534178777295796H11BW2IU08051673175I	6680O09X1ZZ2017-01-26195304709V	3814862017-01-262018-06-057
686105112862242Z27HW7GY52832315204H	5028T15B1ZZ2016-03-11878751383J	3787842016-03-112019-07-214
928254759034508S30CA0QF42406823208Y	8897F96R6ZZ2016-02-28399386056T	3226232016-02-282017-04-039
899502047482200D23CN6YZ26875767362L	3391Q94L5ZZ2017-10-29559173295O	3958512017-10-292017-03-045
707274670438581Z52KG2UN00574632536S	3541L96J6ZZ2018-12-06265292464Q	3848352018-12-062017-03-151
033414095639615U31NA6XM37194933671N	4550M80G6ZZ2017-08-14881851222S	3768052017-08-142018-12-065
441310241429477J98MA0FI21940652353T	2527L86O4ZZ2017-09-12054548149J	3649872017-09-122018-05-198
840038603130975I55PC3SQ50293220580U	5652R01D5ZZ2019-10-22660603813N	3523512019-10-222019-04-167
945131127886154S84OP5SN65483755354X	7444A62D4ZZ2019-02-03462549687C	3854672019-02-032019-12-117
573398423648147D12NI9ZO68948857653N	2606X64W1ZZ2017-07-10372067790E	3644072017-07-102019-05-059
304503046990395Y85ZU0CK16118509249X	3729B10E4ZZ2018-06-03739697574L	3877872018-06-032017-10-048
212470227441858M96KD4LK79511725643X	7098B80E4ZZ2019-01-04305045495Z	3772612019-01-042019-07-114
329292431460800N86KN5JM64034309394K	2345T07O7ZZ2017-09-30405269900S	3283272017-09-302019-05-133
551384113947321W73OB1OT28187675760E	1865H06P9ZZ2018-06-10212485688Q	3709772018-06-102017-09-287
773329439747030D13ZP4PQ33246421534R	2317D09P5ZZ2017-08-02014678759D	3696722017-08-022019-11-248
588388316739349U83GU0HZ29986047578Z	7326O09R2ZZ2016-02-29057590252X	3936242016-02-292017-07-310
635967148116040N87VI9WP09001606179Z	8880I24H2ZZ2019-09-10185443706F	3481382019-09-102019-11-248
561850306745611S29MW7ZV54421446609O	0275T96B8ZZ2016-01-19498044714Y	3206502016-01-192017-03-271
394932300449577N77CD9SH28149118912I	4532X35H1ZZ2018-07-17140051198U	3995682018-07-172017-09-026
099101212802499V44GT6OT88554933854P	7701X55D9ZZ2017-04-30806263825T	3259032017-04-302019-10-195
136280513801468X23SD2YC68055791037B	2916E57P7ZZ2016-11-12968012598F	3341542016-11-122018-10-067
886274676089055M64MK2OU86498161942X	2512F92O9ZZ2017-06-25542665219Y	3394872017-06-252019-06-140
114178517406533S77TN8TX84697595437O	9579J89R0ZZ2016-07-19272077213R	3469692016-07-192019-07-242
858023135114326K29SX5JS60811249766U	4479R95R2ZZ2018-10-11853763283Y	3610582018-10-112017-01-160
687750996045586N72TP7EA25345703591W	1203R23T0ZZ2017-06-06861745481I	3173582017-06-062017-08-021
102846957970416T82MS1BT06189700253D	4655A83R4ZZ2019-02-21129573250W	3547022019-02-212017-03-019
699258535003651D61KC8HT42684603443X	9443L22W7ZZ2017-06-20169881817D	3825402017-06-202019-04-059
531068373368130S14OZ2ED31669300084S	2240A08O8ZZ2018-10-09678246535W	3883252018-10-092018-03-063
251026155529962K28IL1XD31112926425U	5513Q70Z0ZZ2018-10-19136193252Z	3140562018-10-192018-06-206
670443466815626V14FH0JY31634515550M	3512Q71B8ZZ2019-11-05779064656I	3501252019-11-052017-06-221
905088721218274O25NI2AK49273171749N	7678P39M4ZZ2017-03-17510673421W	3132712017-03-172018-05-091
259799811160988C79UJ6WO44802139202D	7368D39L8ZZ2016-07-01842994333I	3575422016-07-012019-11-119
597104871856520N08CI7HJ96899845121T	7802M78W1ZZ2019-04-09044002576N	3232852019-04-092017-04-111
616094402560684C25VY1AM43709824097M	9569T80Z4ZZ2016-08-27403691449G	3522192016-08-272017-03-089
207292527528425V61MB8WA06975636319Z	8647M58Q5ZZ2016-10-20973580527S	3110532016-10-202018-11-094
060909670205719D92ZH5LX13980666122X	8557B50U5ZZ2019-04-26785669768P	3715782019-04-262019-11-078
096621963787511X57YC1JX02564073267X	4954W17Z9ZZ2019-01-23451540430B	3518842019-01-232018-03-013
324945647611378D17MW8XI18244401365J	5369Y32F6ZZ2019-12-16419558660J	3998292019-12-162019-08-199
465415892349682K40SE3YR87673580041U	7661O42C3ZZ2018-03-28073640226U	3210802018-03-282019-11-254
800176347142649I17AH9OZ34548090427B	9811C88S6ZZ2017-09-20974547099W	3386512017-09-202018-08-289
577592290683240G69XV6XP37545329341U	3205G15J0ZZ2016-02-26693597786H	3283032016-02-262017-12-273
829976061176881X42RN7VH06310181702B	2852U03Q2ZZ2018-07-01759824908L	3501532018-07-012018-12-289
311495488386767V86EU5SN74421292523A	5057L78T1ZZ2016-08-13203222016M	3500402016-08-132019-03-185
792503749313935X35AP4HU43375023562Z	1537I76P1ZZ2017-01-16556320893D	3361272017-01-162018-06-267
183804822321173Q47RU2EX83344255317P	7838X10P8ZZ2018-06-15301714100Y	3334022018-06-152019-08-059
806121787163875H51DV8KG12029708849G	5739G12C5ZZ2019-10-12300188626M	3338052019-10-122019-05-177
166934576126205V91YF0UM49238966415X	0589Q18K4ZZ2019-09-19807063870B	3998392019-09-192017-04-166
571549690389523Z69LW7KT68071288583N	6093E27V7ZZ2018-03-06927921329U	3709992018-03-062019-07-146
162326173622034N15WC1JW50083345140C	9499Z95X8ZZ2017-08-11119924630C	3899132017-08-112017-12-018
769108601568757X53KT8TP70391997258S	2164W72B7ZZ2017-02-27383581824O	3241762017-02-272017-04-230
049395793750295U11VH0WT54914888490V	5439S42D4ZZ2017-01-02941710757O	3323772017-01-022018-07-151
481083372603698J67OH2FD03674466513B	8242C29C0ZZ2016-06-06442488822A	3657952016-06-062017-06-026
520842816898807O68NL7WY82411186103K	6911P92P9ZZ2018-09-01440868095V	3173422018-09-012018-07-201
763062362665110I71YP1OV73603845646N	9883Z93K3ZZ2017-11-19362416194Z	3993152017-11-192017-10-235
709697654447395B11BP0BJ37518949631A	6437H06C5ZZ2018-02-01770466996D	3655772018-02-012017-07-282
445676411267535Y02IM0MN78386515328E	1042F80Y0ZZ2017-10-26051358608O	3318562017-10-262017-03-292
979409656802800W70OW1MR42612310737X	1337Y00T3ZZ2018-09-20981888236M	3936942018-09-202017-06-074
719889371084726R45ZB4CO59926754478O	9214J04I4ZZ2017-12-20857472835S	3691802017-12-202017-12-171
396574442343228U31MU0LT32853958868O	2905J82J4ZZ2018-04-29658867352Z	3611332018-04-292017-03-311
169802058026562X05FH0MP09813199064F	3668N13U7ZZ2018-03-09173431516K	3228402018-03-092018-11-040
126260092277998C16BC4EK80189181681A	8997E24K5ZZ2016-12-27583180092M	3731432016-12-272018-07-113
029801518881147O19ZV4LH48261139853Q	0546C24Z4ZZ2018-10-31259132553V	3867082018-10-312020-01-052
549117001068938J61OD8QH38277255801S	7626K11W0ZZ2017-10-31428172790L	3951382017-10-312018-10-206
795417969174370W71AN3LC05509284851V	5898H85I0ZZ2017-05-23612229895C	3630602017-05-232018-07-077
902145272785350N86YU1NK28101897751M	4189A39I3ZZ2017-11-13987580929N	3397062017-11-132018-02-229
139046220809821G45ST8CU75930873669L	0195K20D4ZZ2016-08-03314795894O	3398992016-08-032019-07-157
563486449052488M74WV9EZ52392330273F	2401Z89B1ZZ2017-06-12993807580D	3189012017-06-122019-06-192
225700716377099T75KY5WF53214623550H	4996H23S9ZZ2017-08-01092572033R	3741282017-08-012017-08-124
185132737920041U63OQ2CM57961325846R	4499I25B3ZZ2019-05-23056313829Z	3829912019-05-232018-02-256
589776450114390V51DX8LP94430374344Z	1017K09T1ZZ2016-09-15129016648R	3761222016-09-152019-05-080
541274606741080V40JF3LT65666750298Z	6308J01Q5ZZ2018-07-22859831968Y	3940162018-07-222018-08-295
815686197649218Y52ZR1QS33155662906K	8109I75H1ZZ2018-11-24071931498I	3305472018-11-242018-05-230
295108868363898L14IT9MV14801507265V	3363Z44W0ZZ2018-10-24424240161H	3807412018-10-242018-08-284
709153289401130P14PZ9XS26679395934D	6321O69Z2ZZ2018-07-28616357476S	3600722018-07-282017-09-081
603171600282684L78EG7BT46913341198Q	0588V58V0ZZ2018-11-25856657186F	3828182018-11-252017-03-044
949902733284861H53QV6ZL49925213130P	1717H20A1ZZ2017-12-21873621484P	3521762017-12-212017-08-307
711621287838065K74SI5GL54270498219E	6004W77K8ZZ2019-03-19346034052L	3285142019-03-192018-06-097
323136894796505H88HV9LF62588067406F	1620W60R6ZZ2018-09-08810653870B	3691982018-09-082017-03-070
221820832008115A44YW6UT86429546344W	7720B79Z1ZZ2018-12-25058470519S	3685162018-12-252018-09-210
637123047262179S49BL1OG00624919952X	5927Q84K9ZZ2019-08-08317648640Z	3494202019-08-082018-01-147
738437631242347V04IG3AF70204924197S	7589Z42Q0ZZ2019-10-13694279396A	3442862019-10-132019-07-094
432193087996631J00HJ5WP60934455962Q	9407H51Q2ZZ2019-05-02152730300N	3125162019-05-022019-03-124
758147862686371F00HB7UY56436310808L	3697J24T8ZZ2016-07-22839855283J	3807962016-07-222018-01-270
115812429923587T01PM4YT14640273329A	3666M39C7ZZ2018-10-24074975460X	3113962018-10-242017-02-280
829518737888611W68IH7NB43511493704T	4696V66G4ZZ2018-09-22114814813Q	3599242018-09-222018-07-163
375204557309139L46JT4QC63482686397R	4841X82C3ZZ2017-11-24709956049Y	3557732017-11-242019-03-279
015203090718598Y67MX7LV92660547937L	1106J71J7ZZ2019-01-11656188186U	3276742019-01-112019-02-201
863405071115227Z35TX5NA34966738986B	1079S85R1ZZ2018-08-07512525553U	3764412018-08-072018-10-119
360982151392039M16WL1KR89035911980V	3062Z42U9ZZ2017-12-28693010854M	3363332017-12-282018-10-090
917549190972968N22NT6QI74586078429C	3083Q35O2ZZ2016-05-22789632318Q	3162452016-05-222017-02-012
963535129105008Q88OG8FL69437358517K	9155K41G2ZZ2018-04-10422932140U	3402262018-04-102018-03-106
583444135776260B29VE8VK20932537945O	8145B93C2ZZ2016-04-03230618235M	3197082016-04-032018-10-123
495269746899641J73GU6ZP74191988917F	8170Z47H8ZZ2019-01-09568868592F	3745342019-01-092017-12-047
965590524389244R22WN0KZ09577725931H	9698O33C1ZZ2019-04-09643128348D	3607802019-04-092018-10-164
628438390000297H66PW1LE61700251532M	8505R70G7ZZ2017-02-25451228074L	3295382017-02-252018-07-037
112165599089627E72PU0YS85551379103W	4642U11R7ZZ2016-05-27735085448Y	3779862016-05-272019-02-119
440038015447545X71KF2BK37565936394W	2916I16U1ZZ2019-11-09427585315Y	3594422019-11-092017-06-071
524837197702245L22XF9GP23746746453F	5785C34H6ZZ2020-01-09243831666G	3133012020-01-092018-01-273
951899964373306F51KZ7SU96171707342N	5923Z34G8ZZ2018-01-11040371804I	3922562018-01-112019-10-283
085909927287322N54BC4JN71864594127W	8004U88W9ZZ2018-08-05033610002T	3801392018-08-052018-11-296
493982172820015S79EF5NY33105865609H	0383M80O0ZZ2016-03-21183009471O	3146052016-03-212018-09-142
910736964096811K70ZU3KE22679821037M	6070N92X0ZZ2017-02-16592813079T	3247492017-02-162018-11-067
379221680314826A39BV0SA12589894840M	8243G40T7ZZ2019-10-13110444580H	3261712019-10-132018-05-076
703354532409107K28WT9FE49187364362F	2551W90X6ZZ2018-01-01564424358I	3521092018-01-012017-05-026
542209314018290S63UO0JS71931392761C	7073Z17E7ZZ2017-07-01537099725O	3112802017-07-012017-04-084
603601590057718I39EW3VE76779148067Q	2272H11Z3ZZ2017-11-19902721827W	3827382017-11-192018-05-300
441150401478995T64SC2RO69548974941R	1904G80B9ZZ2019-02-15616717040S	3870632019-02-152018-01-228
